Conductivity,Weight,Temperature1,Temperature2,Temperature3,Temperature4,Year,Month,Day,Hour,Minute,Second
436.36,0.0,58.20,52.29,25.27,31.15,2019,4,19,14,53,34
436.36,0.0,58.20,52.26,25.27,31.11,2019,4,19,14,53,40
445.75,0.0,58.24,52.29,25.30,31.15,2019,4,19,14,53,45
436.36,0.0,58.20,52.29,25.30,31.15,2019,4,19,14,53,50
436.36,0.0,58.20,52.26,25.30,31.18,2019,4,19,14,53,55
441.06,0.0,58.24,52.29,25.30,31.15,2019,4,19,14,54,0
441.06,0.0,58.24,52.29,25.34,31.18,2019,4,19,14,54,5
436.36,0.0,58.24,52.29,25.34,31.18,2019,4,19,14,54,10
441.06,0.0,58.24,52.29,25.34,31.15,2019,4,19,14,54,15
436.36,0.0,58.20,52.32,25.34,31.18,2019,4,19,14,54,20
436.36,0.0,58.20,52.32,25.34,31.18,2019,4,19,14,54,25
436.36,0.0,58.17,52.29,25.34,31.18,2019,4,19,14,54,30
441.06,0.0,58.17,52.29,25.37,31.21,2019,4,19,14,54,35
436.36,0.0,58.14,52.29,25.37,31.21,2019,4,19,14,54,40
436.36,0.0,58.14,52.29,25.37,31.21,2019,4,19,14,54,45
441.06,0.0,58.14,52.29,25.37,31.21,2019,4,19,14,54,50
436.36,0.0,58.10,52.29,25.37,31.18,2019,4,19,14,54,55
436.36,0.0,58.10,52.26,25.37,31.18,2019,4,19,14,55,0
441.06,0.0,58.10,52.22,25.37,31.25,2019,4,19,14,55,5
441.06,0.0,58.07,52.22,25.37,31.25,2019,4,19,14,55,10
441.06,0.0,58.03,52.19,25.40,31.25,2019,4,19,14,55,15
441.06,0.0,58.03,52.22,25.40,31.25,2019,4,19,14,55,20
441.06,0.0,58.00,52.19,25.44,31.25,2019,4,19,14,55,25
436.36,0.0,58.00,52.19,25.40,31.25,2019,4,19,14,55,30
436.36,0.0,57.96,52.19,25.40,31.28,2019,4,19,14,55,35
431.67,0.0,58.00,52.15,25.44,31.21,2019,4,19,14,55,40
431.67,0.0,58.00,52.15,25.44,31.28,2019,4,19,14,55,45
436.36,0.0,58.00,52.15,25.44,31.28,2019,4,19,14,55,50
441.06,0.0,58.03,52.12,25.44,31.28,2019,4,19,14,55,55
436.36,0.0,58.07,52.15,25.44,31.28,2019,4,19,14,56,0
436.36,0.0,58.03,52.15,25.47,31.25,2019,4,19,14,56,5
436.36,0.0,58.03,52.19,25.44,31.31,2019,4,19,14,56,10
441.06,0.0,58.03,52.19,25.47,31.28,2019,4,19,14,56,15
436.36,0.0,58.03,52.19,25.47,31.31,2019,4,19,14,56,20
431.67,0.0,58.03,52.19,25.47,31.31,2019,4,19,14,56,25
445.75,0.0,58.03,52.15,25.50,31.31,2019,4,19,14,56,30
441.06,0.0,58.00,52.19,25.50,31.31,2019,4,19,14,56,35
441.06,0.0,57.96,52.19,25.47,31.35,2019,4,19,14,56,40
441.06,0.0,58.03,52.19,25.50,31.35,2019,4,19,14,56,45
441.06,0.0,57.96,52.15,25.50,31.38,2019,4,19,14,56,50
436.36,0.0,57.93,52.15,25.50,31.35,2019,4,19,14,56,55
436.36,0.0,57.90,52.15,25.54,31.38,2019,4,19,14,57,0
431.67,0.0,57.90,52.15,25.54,31.38,2019,4,19,14,57,5
436.36,0.0,57.90,52.12,25.54,31.38,2019,4,19,14,57,10
441.06,0.0,57.86,52.12,25.54,31.38,2019,4,19,14,57,15
441.06,0.0,57.83,52.12,25.54,31.35,2019,4,19,14,57,20
441.06,0.0,57.83,52.05,25.54,31.35,2019,4,19,14,57,25
431.67,0.0,57.83,52.05,25.54,31.38,2019,4,19,14,57,30
436.36,0.0,57.79,52.09,25.54,31.35,2019,4,19,14,57,35
431.67,0.0,57.79,52.05,25.54,31.35,2019,4,19,14,57,40
436.36,0.0,57.79,52.05,25.57,31.38,2019,4,19,14,57,45
431.67,0.0,57.83,52.05,25.54,31.38,2019,4,19,14,57,50
441.06,0.0,57.83,52.05,25.57,31.38,2019,4,19,14,57,55
431.67,0.5,57.83,52.05,25.57,31.35,2019,4,19,14,58,0
441.06,0.5,57.79,52.05,25.57,31.35,2019,4,19,14,58,5
431.67,0.5,57.83,52.05,25.57,31.38,2019,4,19,14,58,10
441.06,0.5,57.79,52.05,25.57,31.42,2019,4,19,14,58,15
431.67,0.5,57.83,52.02,25.61,31.38,2019,4,19,14,58,20
436.36,0.5,57.79,52.02,25.61,31.42,2019,4,19,14,58,25
436.36,0.5,57.79,52.05,25.64,31.42,2019,4,19,14,58,30
441.06,0.5,57.79,52.05,25.61,31.42,2019,4,19,14,58,35
441.06,0.5,57.83,52.05,25.61,31.42,2019,4,19,14,58,40
431.67,0.5,57.83,52.02,25.61,31.42,2019,4,19,14,58,45
