Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
408.21	1938.5	71.00	66.29	31.61	37.77	5	20	13	31	0
408.21	1947.5	71.13	66.12	31.72	37.84	5	20	13	32	0
408.21	1956.0	71.13	66.26	31.58	37.81	5	20	13	33	0
403.52	1965.0	70.96	66.16	31.61	37.71	5	20	13	34	0
408.21	1974.5	70.96	66.19	31.58	37.74	5	20	13	35	0
408.21	1982.5	70.90	66.16	31.55	37.71	5	20	13	36	0
398.83	1991.0	71.17	66.19	31.58	37.74	5	20	13	37	0
408.21	1999.5	71.10	66.26	31.55	37.67	5	20	13	38	0
408.21	2008.0	71.24	66.33	31.58	37.74	5	20	13	39	1
408.21	2016.5	71.13	66.26	31.68	37.77	5	20	13	40	1
398.83	2024.0	71.20	66.26	31.61	37.84	5	20	13	41	1
403.52	2029.5	71.13	66.33	31.58	37.71	5	20	13	42	1
408.21	2036.0	71.00	66.19	31.58	37.74	5	20	13	43	1
408.21	2043.0	71.13	66.22	31.48	37.64	5	20	13	44	1
403.52	2050.5	71.13	66.33	31.24	37.23	5	20	13	45	1
384.75	2058.5	71.13	66.39	31.24	37.30	5	20	13	46	1
375.37	2066.0	71.13	66.33	31.18	37.20	5	20	13	47	1
384.75	2073.5	71.20	66.43	31.31	37.30	5	20	13	48	2
380.06	2081.5	71.03	66.36	31.31	37.27	5	20	13	49	2
384.75	2089.5	71.27	66.46	31.21	37.27	5	20	13	50	2
380.06	2097.0	71.10	66.36	31.24	37.30	5	20	13	51	2
380.06	2105.0	71.20	66.39	31.21	37.33	5	20	13	52	2
375.37	2112.5	71.10	66.39	31.07	37.20	5	20	13	53	2
375.37	2120.0	71.17	66.36	31.11	37.17	5	20	13	54	2
380.06	2128.0	71.17	66.43	31.18	37.23	5	20	13	55	2
375.37	2136.0	71.34	66.53	31.11	37.20	5	20	13	56	2
375.37	2143.0	71.27	66.53	31.18	37.27	5	20	13	57	3
